text,label_A,label_B,label_C,type,label
think user user team battle would thinkingfacewhat thinkthinkingface valtteri gotta mercedes next year,NOT,,,Not Offensive,0
user record stand brush play stay true game daily,NOT,,,Not Offensive,0
moved florida yes ago wow glad back,NOT,,,Not Offensive,0
user hah last one hour,NOT,,,Not Offensive,0
user dementia getting significant bad lately not sure remembers said hour previous,NOT,,,Not Offensive,0
user pretty wild potential best chapter series,NOT,,,Not Offensive,0
friday yet disappointedbutrelievedface,NOT,,,Not Offensive,0
going series step bike,NOT,,,Not Offensive,0
never forget user wore fingerless glove play bass reading fighting,NOT,,,Not Offensive,0
user user congrats amp best wish senior year beyond,NOT,,,Not Offensive,0
user voice happy argue please proceed,NOT,,,Not Offensive,0
user user discounted bonus parental control restriction cost extra,NOT,,,Not Offensive,0
user leave grinningface,NOT,,,Not Offensive,0
not looking drama come handle mine,NOT,,,Not Offensive,0
remember smile guiding star,NOT,,,Not Offensive,0
user user folding arm twitter,NOT,,,Not Offensive,0
user boomstwin got,NOT,,,Not Offensive,0
ready ross album,NOT,,,Not Offensive,0
user word truly amazing,NOT,,,Not Offensive,0
love godlike breath fresh air greenheart,NOT,,,Not Offensive,0
user user user thank rod support voice gaming community much appreciated game brother,NOT,,,Not Offensive,0
user important issue election almighty medium promised could not happen,NOT,,,Not Offensive,0
user standing right next user thumb,NOT,,,Not Offensive,0
user use native client tear eye,NOT,,,Not Offensive,0
user hi tom want know love sister christ thank service,NOT,,,Not Offensive,0
user also historian long agreed state great tomato greatest state,NOT,,,Not Offensive,0
user reason congress not came power,NOT,,,Not Offensive,0
user user talk vote,NOT,,,Not Offensive,0
user user plan simple q,NOT,,,Not Offensive,0
person read may parent live yearsredheart,NOT,,,Not Offensive,0
user thank telling truth significant hard,NOT,,,Not Offensive,0
user user truly no idea came tweet not replying significant sorry,NOT,,,Not Offensive,0
user bingo since furthest away wanted bit mina close heart lt,NOT,,,Not Offensive,0
today significant good unless crush girlfriend shared pic two together year ago,NOT,,,Not Offensive,0
mean one vintage song,NOT,,,Not Offensive,0
user wow thanks posting hope went viral,NOT,,,Not Offensive,0
read line not front,NOT,,,Not Offensive,0
currently waiting london heathrow flight back aberdeen everything looking tear eye significant far,NOT,,,Not Offensive,0
user army around world shall watch tomorrow already excitedsmilingfacewithhearteyessmilingfacewithhearteyes,NOT,,,Not Offensive,0
user hang jo yuri whoa whoa one supposed ask like facewithrollingeyes,NOT,,,Not Offensive,0
significant tell something happy happened today mine yellow butterfly crossed road kept flying front walksmilingfacewithhearteyes,NOT,,,Not Offensive,0
user user user let u see go,NOT,,,Not Offensive,0
user user tear eye apply you,NOT,,,Not Offensive,0
user user user one snapshot quoted morning,NOT,,,Not Offensive,0
user looked one qualifying poll not release donor count,NOT,,,Not Offensive,0
user reporting year,NOT,,,Not Offensive,0
user guess not watching movie skeptical annoyed undecided uneasy hesitant,NOT,,,Not Offensive,0
loudlycryingfaceretweet follow back follow everyone reply hi redhead,NOT,,,Not Offensive,0
user user apart kobe rd team yea agreed,NOT,,,Not Offensive,0
user living week sure accomplished facewithtearsofjoyfaceblowingakiss,NOT,,,Not Offensive,0
user whatever become least day played part,NOT,,,Not Offensive,0
enough netflix tonight tear eye bed sleepingface,NOT,,,Not Offensive,0
heard user first tear eye user fell love wish guy going user wearyfacewearyface,NOT,,,Not Offensive,0
user user whose account not mcconnell official account,NOT,,,Not Offensive,0
user see yes stock order duly allocated unit completion order my,NOT,,,Not Offensive,0
user shoot moon miss still landing amongst star sparkle pro bean,NOT,,,Not Offensive,0
word hispanic pronounced hispanic united state,NOT,,,Not Offensive,0
user get notification acceptance today right,NOT,,,Not Offensive,0
user user except concrete wall surrounding keep people getting wink smirk,NOT,,,Not Offensive,0
not feeling compatibility,NOT,,,Not Offensive,0
thank prayed good thing always,NOT,,,Not Offensive,0
user probably,NOT,,,Not Offensive,0
toni reason significant many u black writer started writing truly heartbroken wow brokenhearted,NOT,,,Not Offensive,0
private equity buy company gut close shop rinse repeat,NOT,,,Not Offensive,0
you instant message never going start making comeback sake new art shoppe,NOT,,,Not Offensive,0
big congrats morning user drew name dolce amp cabana light blue sun fragrance come,NOT,,,Not Offensive,0
not believe last first day high school ever tomorrow frown sad angry pouting,NOT,,,Not Offensive,0
user user loved mr smith go washington also military career exemplary,NOT,,,Not Offensive,0
user counting yell hyungwons best hair,NOT,,,Not Offensive,0
best world twoheartspeach,NOT,,,Not Offensive,0
not believe not yet friday rick ross not dropped port miami,NOT,,,Not Offensive,0
user user fix change email feature setting currently not change email get error,NOT,,,Not Offensive,0
user not hidden agenda like open agenda humble opinion had shorting reported late april mid may,NOT,,,Not Offensive,0
user forget chaos symbol facewithstuckouttonguewinkingeye look great mate,NOT,,,Not Offensive,0
user user user doubt never know not see even wanting come honest,NOT,,,Not Offensive,0
user government subsidized farming sound quite red,NOT,,,Not Offensive,0
new automatic sniper,NOT,,,Not Offensive,0
not know todayfacewithtearsofjoy,NOT,,,Not Offensive,0
user user user user user awe significant nice redhead base port harcourt,NOT,,,Not Offensive,0
significant grateful another year filled love lesson growth amp significant much happy birthday butterflysparkles,NOT,,,Not Offensive,0
user not expecting love,NOT,,,Not Offensive,0
leaving twitter forever great tear eye miss stay blessed best allah hafiz redhead,NOT,,,Not Offensive,0
user user user user user user kind wondered security camera rollingonthefloorlaughingrollingonthefloorlaughing,NOT,,,Not Offensive,0
user go deeper papa person bottom right definitely,NOT,,,Not Offensive,0
thank god another day foldedhandsmediumdarkskintone,NOT,,,Not Offensive,0
user user user belt good,NOT,,,Not Offensive,0
probably one best part binge watch football video game analyze analyze analyze,NOT,,,Not Offensive,0
mom really wash hair already like day ago,NOT,,,Not Offensive,0
user body release adrenaline due stimulus win,NOT,,,Not Offensive,0
genuinely say no longer person year ago,NOT,,,Not Offensive,0
user not look website yet not think possible ape,NOT,,,Not Offensive,0
user happened model also pay,NOT,,,Not Offensive,0
between significant nick see miss following meloudlycryingface,NOT,,,Not Offensive,0
sometimes taking care best way practice taking care others,NOT,,,Not Offensive,0
look generosity look selflessness look open heart open mind isapawithfeelingsfilmingday mainemendoza user,NOT,,,Not Offensive,0
user user thanks coming sarah hope isaac not traumatized,NOT,,,Not Offensive,0
user awe smilingfacewithhearteyessmilingfacewithhearteyes so cute got wait,NOT,,,Not Offensive,0
user fireproof solo sign time,NOT,,,Not Offensive,0
user user told join twitter not told bias rollingonthefloorlaughing,NOT,,,Not Offensive,0
user wale sure,NOT,,,Not Offensive,0
user think not going lie ordered yesterday got poster,NOT,,,Not Offensive,0
user user better mention,NOT,,,Not Offensive,0
user thanks info non related going follow nickname try happen happy face smiley pay win,NOT,,,Not Offensive,0
user ship pay,NOT,,,Not Offensive,0
user wish understand russian language would much better,NOT,,,Not Offensive,0
user not wait watch baby,NOT,,,Not Offensive,0
thanks rivalry make one realize one inadequacy,NOT,,,Not Offensive,0
not posted snapshot heat moment,NOT,,,Not Offensive,0
everybody playing mineshaft getting exited play new modern warfare game yeah back,NOT,,,Not Offensive,0
user user let u watch movie back back sneak burrito burrito redhead moviecamera,NOT,,,Not Offensive,0
rubbing stomach son exact motion significant purpleheartpleadingface,NOT,,,Not Offensive,0
ltwhispersgt come get ltwhispersgt,NOT,,,Not Offensive,0
rest power toni morrison,NOT,,,Not Offensive,0
user last tear eye checked drive make raven,NOT,,,Not Offensive,0
user user good luck user really enjoyed drumming also nice see canadian sick go jet,NOT,,,Not Offensive,0
user user kind,NOT,,,Not Offensive,0
user sure would happy go back pool guess not interested,NOT,,,Not Offensive,0
notably matt stafford dropping dime rollaway jones bill belichick day joint practice lion gave u problem multiple area,NOT,,,Not Offensive,0
user user user credit not happen eu rug france election make sure,NOT,,,Not Offensive,0
user user ah yes government pagemisleading not factual trudeaumustgo,NOT,,,Not Offensive,0
user course history stiffing people contractor city et nothing new unfortunately,NOT,,,Not Offensive,0
speaking two eats hair two significant good ugh superior hairstyle,NOT,,,Not Offensive,0
overwhelming amount sadness washed meow,NOT,,,Not Offensive,0
user english version intelligence ability adapt change stephen hawking,NOT,,,Not Offensive,0
user thought good idea ask,NOT,,,Not Offensive,0
need get back gym pronto,NOT,,,Not Offensive,0
user great,NOT,,,Not Offensive,0
user yeah contract price stupid out used like go anyway significant shiny phone smilingfacewithsunglassessmilingfacewithsunglasses,NOT,,,Not Offensive,0
user user user mean back gate,NOT,,,Not Offensive,0
heartiest congratulation u end article user user,NOT,,,Not Offensive,0
user user yup everyone perfect radically different reason,NOT,,,Not Offensive,0
week go gym significant ready,NOT,,,Not Offensive,0
user become fan art,NOT,,,Not Offensive,0
user not even worry content realistic anyone else,NOT,,,Not Offensive,0
rd tear eye watch hellolovegoodbye hellolovechooseday walangsawa,NOT,,,Not Offensive,0
beyond grateful am always overtime thanks g,NOT,,,Not Offensive,0
user user new season maybe coming july,NOT,,,Not Offensive,0
user read never ever significant unit,NOT,,,Not Offensive,0
know kind frustrating eat dino nugget not noah,NOT,,,Not Offensive,0
user great hearing really thanks requesting song,NOT,,,Not Offensive,0
check latest businessmgmt opening providence clicking link big,NOT,,,Not Offensive,0
user two something common neither clue meaning honesty,NOT,,,Not Offensive,0
ever since got bus membership refuse pay regular price gas,NOT,,,Not Offensive,0
one country boy another happy birthday user great dismay,NOT,,,Not Offensive,0
not socialize morning quiet leave alone noon,NOT,,,Not Offensive,0
user user trump tweeting toilet toledo,NOT,,,Not Offensive,0
cub first place bear season less month away best tear eye year,NOT,,,Not Offensive,0
user want add angst feeling somehow one sided,NOT,,,Not Offensive,0
overheard no peak high school,NOT,,,Not Offensive,0
need listen fact not feel,NOT,,,Not Offensive,0
go back day love strongfrowningfacebrokenheart,NOT,,,Not Offensive,0
user user stack table not trying hang w vic sleepingface,NOT,,,Not Offensive,0
user thank much make good opportunity perform well finger crossed go well thumb,NOT,,,Not Offensive,0
user no no no much better money,NOT,,,Not Offensive,0
user stevie ray vaughn month died height power powerful indeed,NOT,,,Not Offensive,0
hey user thanks followcowboyhatfacepaintbrush,NOT,,,Not Offensive,0
user overheard okay get thanks reassuring not sure follow feed line problem thanks,NOT,,,Not Offensive,0
user deservesmilingfacewithhearteyes not wait watch movie saturdaygrinningfacewithsmilingeyes love always stay safe well angelsredheartredheartredheart,NOT,,,Not Offensive,0
user ply ask safety raffia aunty hammed allah sb not reach relative thank,NOT,,,Not Offensive,0
sacrificed friendship love family nothing,NOT,,,Not Offensive,0
user looking slight smile lip gaze still table,NOT,,,Not Offensive,0
user not watched,NOT,,,Not Offensive,0
user not email sent one one ah release today however,NOT,,,Not Offensive,0
might week summer camp not fret still happening grandpa place thursday starting pm,NOT,,,Not Offensive,0
supposed austin today weekend going referring today back got hot,NOT,,,Not Offensive,0
ready scorpio son maneloudlycryingface,NOT,,,Not Offensive,0
no problem stronger user musicandtalk user amp user inspiremytuesday,NOT,,,Not Offensive,0
user sure would prefer pan handle,NOT,,,Not Offensive,0
user know loved million around world purpleheartpurpleheart,NOT,,,Not Offensive,0
day done mbokodo malibongwe womensmonth restinpeace tonimorrison,NOT,,,Not Offensive,0
would klondike bar,NOT,,,Not Offensive,0
user pay unexpected import charge amount stated gap charged want p back not kidding,NOT,,,Not Offensive,0
wonder crush concert bangkok luna confirmed part line upon new schedule teeming concert thailand alongside thereon chung let,NOT,,,Not Offensive,0
meeting talking new people journey worth,NOT,,,Not Offensive,0
user user thank god constitutional republic right not mob rule vote,NOT,,,Not Offensive,0
user rain also go mainstay stop stage swimming,NOT,,,Not Offensive,0
born best twoyearswithwannaone boy always best,NOT,,,Not Offensive,0
eddie claude saying something need heard america,NOT,,,Not Offensive,0
devastated sure resting power raisedfistmediumdarkskintoneheartsuitrip toni,NOT,,,Not Offensive,0
user user user nam thought youfacewithtearsofjoy,NOT,,,Not Offensive,0
user asking real question,NOT,,,Not Offensive,0
news user arsenal agreed deal yank avila fee would new aft record,NOT,,,Not Offensive,0
user portuguese saying bruno close united month not sure serious interest mate,NOT,,,Not Offensive,0
happy year queen lt,NOT,,,Not Offensive,0
user loss not,NOT,,,Not Offensive,0
user significant sorry love sending love family,NOT,,,Not Offensive,0
user thanks tweet,NOT,,,Not Offensive,0
no oh trying sign cb instead continuo get excited man,NOT,,,Not Offensive,0
user grace god family,NOT,,,Not Offensive,0
not wait winter fashion smilingfacewithhearteyes not dress,NOT,,,Not Offensive,0
user traditional greeting epsilon prime recall correctly,NOT,,,Not Offensive,0
hey boy like new ship want see,NOT,,,Not Offensive,0
year ago never would thought would today person thank god,NOT,,,Not Offensive,0
someone tell keep saving money go see behind scene movie tomorrow like not know doneutralfaceneutralface,NOT,,,Not Offensive,0
dusk also follow leo act lead,NOT,,,Not Offensive,0
breaking abrogation passed look sasha,NOT,,,Not Offensive,0
user hey big guy got picture kew video youth one million dollar,NOT,,,Not Offensive,0
friday next year loudlycryingfacefor teamnaubusan day per friday swede let know amp hear thought kc kara no sunday e amp tear eye kara,NOT,,,Not Offensive,0
maggie brandon dating best thing happen word,NOT,,,Not Offensive,0
user game last night best thing ever saw awesome,NOT,,,Not Offensive,0
user true church iron also feel good,NOT,,,Not Offensive,0
user well not much facewithtearsofjoy,NOT,,,Not Offensive,0
user user train company rarely get right northernfail,NOT,,,Not Offensive,0
user user user wanting fame sharing thought subject,NOT,,,Not Offensive,0
riley seeing boy day kissingfacevictoryhandlightskintonevictoryhandlightskintone,NOT,,,Not Offensive,0
user user neither lot website traffic embarrassed blushing,NOT,,,Not Offensive,0
think arsenal focus getting upamecano continuo sake defense,NOT,,,Not Offensive,0
user okay name popped see,NOT,,,Not Offensive,0
wherever always felt like home,NOT,,,Not Offensive,0
user user user user user q asia would functional mia thinkingface,NOT,,,Not Offensive,0
user user interesting badge change profile pic,NOT,,,Not Offensive,0
looking represent duo v and user user,NOT,,,Not Offensive,0
user user user end world easy imagine many way,NOT,,,Not Offensive,0
user not quite simple studio asking take compensate big factor,NOT,,,Not Offensive,0
imagine marrying someone nice taste musichuggingface,NOT,,,Not Offensive,0
follow everyone like tweet gain new mutual,NOT,,,Not Offensive,0
thank choosing,NOT,,,Not Offensive,0
user user overheard god love smilingfacewithhearteyes rock significant happy find fellow crater happy face smiley,NOT,,,Not Offensive,0
user user posting image beyond polar opposite funny,NOT,,,Not Offensive,0
user score goal concede game,NOT,,,Not Offensive,0
dog missing day last night saw dream significant happy see pleadingface,NOT,,,Not Offensive,0
birthday day phone get lot love,NOT,,,Not Offensive,0
user user rupalibhosle smilingfacewithhearteyes one top even biggbossmarathi,NOT,,,Not Offensive,0
user opinion course not correct,NOT,,,Not Offensive,0
saw group baby turkey way work,NOT,,,Not Offensive,0
user user,NOT,,,Not Offensive,0
greg van rotten took vet day day born,NOT,,,Not Offensive,0
sometimes thank one person could always depend,NOT,,,Not Offensive,0
read news toni morrison body went cold not believe,NOT,,,Not Offensive,0
touch dilemma arsenal potentially sacrificing exceptionally talented smithrowe deal upamecano explodinghead,NOT,,,Not Offensive,0
final vote count favor seems many opposition also voted govt move integrate jump india,NOT,,,Not Offensive,0
user wait pyongyang release similar service,NOT,,,Not Offensive,0
user would booked next flight fly user lot good value,NOT,,,Not Offensive,0
user user shall help crisis,NOT,,,Not Offensive,0
user want ask miss not always meet almost everyday though,NOT,,,Not Offensive,0
user user waiting book well amp check amazon day,NOT,,,Not Offensive,0
overheard man imagine place demo come new song whatever want,NOT,,,Not Offensive,0
user say never give dream congratulation wishing best career,NOT,,,Not Offensive,0
user taylor nation thirteen direct message might able make la tear eye,NOT,,,Not Offensive,0
user feel free lift arm front smilingfacewithsunglasses,NOT,,,Not Offensive,0
user clappinghandsdarkskintone artist,NOT,,,Not Offensive,0
going squeeze another session today pm pm drop email misssarahjessicamailuser,NOT,,,Not Offensive,0
newcastle confusion sunday buzzing see new formation,NOT,,,Not Offensive,0
yes started reading trial apollo let tell g love,NOT,,,Not Offensive,0
user thank policing people put body world better place,NOT,,,Not Offensive,0
sb user deserves credit getting club decision offer new deal hope close,NOT,,,Not Offensive,0
user agree carrying diary reporting housing meantime one slightlysmilingface,NOT,,,Not Offensive,0
user user definitely way not listen love,NOT,,,Not Offensive,0
love mom someone love unconditionally till last breath,NOT,,,Not Offensive,0
user best word,NOT,,,Not Offensive,0
jenkins longest serving member arsenal airstream squad hour,NOT,,,Not Offensive,0
user user user user great state texas,NOT,,,Not Offensive,0
user thank coming mall user not wait welcome back mall soon ya faceblowingakiss,NOT,,,Not Offensive,0
user certainly would not european price double up sure,NOT,,,Not Offensive,0
user thanks feed u wellfacewithtearsofjoyfacewithtearsofjoyredheart,NOT,,,Not Offensive,0
really glad talk anybody no matter background way life,NOT,,,Not Offensive,0
comeback always stronger setback,NOT,,,Not Offensive,0
user know right good touch even frown sad angry pouting,NOT,,,Not Offensive,0
user user user user busy coming right no tear eye talk busy pumping,NOT,,,Not Offensive,0
follow follow back follow rate,NOT,,,Not Offensive,0
happy opening season wish could water work grind come first,NOT,,,Not Offensive,0
user pretty sure not add anything primary process individual,NOT,,,Not Offensive,0
finally sunk not going back being fall emotionally paralyzed next hour cryingface,NOT,,,Not Offensive,0
tomorrow official release bring soul smilingfacewithhearts good luck everyone watch,NOT,,,Not Offensive,0
leo silence best answer question smile best reaction situation,NOT,,,Not Offensive,0
user not expecting say anything less good luck athletics playing style e pep,NOT,,,Not Offensive,0
try significant hard make someone feel special loved would nice anyone life would return favor pensiveface,NOT,,,Not Offensive,0
significant love boyfriend not imagine life without himpleadingface,NOT,,,Not Offensive,0
user bravely speaking today l tax telling truth lakh front whole nation whole world,NOT,,,Not Offensive,0
smoked nice bowl drank yogi positive energy tea wait,NOT,,,Not Offensive,0
almost tear eye poll tell want see winkingface user user user user,NOT,,,Not Offensive,0
video game play others healer team,NOT,,,Not Offensive,0
cartel telephone blessing love wish cartel much sooner cartel user florida,NOT,,,Not Offensive,0
ya episode good today finally get happy cyborg granny goodness point well written,NOT,,,Not Offensive,0
user yeah especially since rained earlier,NOT,,,Not Offensive,0
user okay still waiting progress processing area,NOT,,,Not Offensive,0
user user facebook front amp center movie great documentary,NOT,,,Not Offensive,0
user said noticed like work round figure madam excellent love seeing result wonderful work hb,NOT,,,Not Offensive,0
user please stay happy healthy love sunshinerelievedfacepurpleheartpurpleheart,NOT,,,Not Offensive,0
would acceptable show first day school wearing sweatpants shirt asking friend,NOT,,,Not Offensive,0
user user user yes read significant not read mean camp june,NOT,,,Not Offensive,0
user ty game come switch buy every one love game,NOT,,,Not Offensive,0
user user user hey happy paying money service not get,NOT,,,Not Offensive,0
two phone working different angle universe significant significant good,NOT,,,Not Offensive,0
not know feel significant good today suspicious,NOT,,,Not Offensive,0
user live willing travel,NOT,,,Not Offensive,0
user user user user not wait hear response question,NOT,,,Not Offensive,0
user got work got thankful,NOT,,,Not Offensive,0
user figure tell theglobeshowingeuropeafricais coming amp end,NOT,,,Not Offensive,0
user felt turning last april old feel happy birthday celebrating,NOT,,,Not Offensive,0
user st one think,NOT,,,Not Offensive,0
user may well everyone else huggingface,NOT,,,Not Offensive,0
user user mistake saw ontario tweet ontario california thanks sarge,NOT,,,Not Offensive,0
user user table,NOT,,,Not Offensive,0
dream one look find need,NOT,,,Not Offensive,0
goal life enough thing significant relax no thing,NOT,,,Not Offensive,0
say significant happy thanks mommy supporting course effort buying everything needed macaroni yamaha,NOT,,,Not Offensive,0
user hello mind sender get follow,NOT,,,Not Offensive,0
user user great britain great one scotland england wale ireland,NOT,,,Not Offensive,0
user blessing blessing bruhgorilla welcome winning tameable,NOT,,,Not Offensive,0
user best way feel real happiness pretty easy gain significant much,NOT,,,Not Offensive,0
finally making naamhc today grimacingface,NOT,,,Not Offensive,0
weird usually song replay entire day,NOT,,,Not Offensive,0
edward wronged no distinction next day gave distinction feelingsshe comfort build,NOT,,,Not Offensive,0
strawberry milk preview coming later today strawberryglassofmilk,NOT,,,Not Offensive,0
user thanks matt hey short visor promised old coacher facewithtearsofjoyfacewithtearsofjoy,NOT,,,Not Offensive,0
finished watching friend first tear eyeshot life,NOT,,,Not Offensive,0
user hello kievan not subtitle release sky store however did blurry of,NOT,,,Not Offensive,0
user condolence pro may give strength withstand trying time disappointedbutrelievedfacefoldedhandsmediumdarkskintone,NOT,,,Not Offensive,0
thank president trump best american president history united state,NOT,,,Not Offensive,0
not oppose government sound intellectual not,NOT,,,Not Offensive,0
street mr eastwood go naturally mr willoughby better always elinor,NOT,,,Not Offensive,0
not focus much negative everything get better,NOT,,,Not Offensive,0
search so good love pox harasser realfacewithtearsofjoy drama thisloudlycryingfacefacewithtearsofjoy,NOT,,,Not Offensive,0
hey angry ask site unit could send photo,NOT,,,Not Offensive,0
user aye happy birthday mom luckiest person happy purpleheart,NOT,,,Not Offensive,0
not put position got show cold heart get embarrassed blushing,NOT,,,Not Offensive,0
user user show data,NOT,,,Not Offensive,0
not wait silence crowd infield lolcoutinho set join aft loan per requires user,NOT,,,Not Offensive,0
user future fun not present fun pensiveface,NOT,,,Not Offensive,0
user user beacon adorable want teddy bear lt,NOT,,,Not Offensive,0
love knocking watermelon purpose acting like clue,NOT,,,Not Offensive,0
surrendering shift,NOT,,,Not Offensive,0
everyone retreating video into dropping cake obligated stan unit,NOT,,,Not Offensive,0
user train clickpurpleheartbring soul frito de som a camera man behind scene army boywithluv user,NOT,,,Not Offensive,0
user started checked percentage said neutralface,NOT,,,Not Offensive,0
user derby not interested be maybe going jacob murphy instead,NOT,,,Not Offensive,0
user significant instrumental fox title win personshruggingfemalesign,NOT,,,Not Offensive,0
user feel like personal congratulation order usher hall gig,NOT,,,Not Offensive,0
good morning everyone peace love,NOT,,,Not Offensive,0
baguio dropped baby somewhat todoroki bold assume ever held,NOT,,,Not Offensive,0
user save date backhandindexpointingrightbackhandindexpointingleft gary please pretty please bottlewithpoppingcorkbottlewithpoppingcork,NOT,,,Not Offensive,0
user user user ah yes definitely seem like wellbalanced person understand history race america,NOT,,,Not Offensive,0
