text,label_A,label_B,label_C,type,label
"USER USER It was discounted, but the bonus parental control restrictions cost extra.",NOT,,,Not Offensive,0
USER Leave. It. grinning_face,NOT,,,Not Offensive,0
Not looking for the drama if it come i am about to handle mine,NOT,,,Not Offensive,0
remember to smile because you are my guiding star,NOT,,,Not Offensive,0
USER USER Folding of arms twitter at it again.,NOT,,,Not Offensive,0
USER BOOMSTWIN we got that!!!,NOT,,,Not Offensive,0
I am ready for that Ross album,NOT,,,Not Offensive,0
USER Her words are truly amazing,NOT,,,Not Offensive,0
"I love you, you Godlike breath of fresh air. green_heart",NOT,,,Not Offensive,0
USER USER USER Thank you rod. Your support and your voice in the gaming community is much appreciated! Game on brother!!,NOT,,,Not Offensive,0
USER The only important issue to them is that he won the election after their almighty media promised them it could not happen.,NOT,,,Not Offensive,0
USER Am standing right next to you USER thumbs_up,NOT,,,Not Offensive,0
USER Same. I use the native client % of the tears in my eyes,NOT,,,Not Offensive,0
"USER Hi Tom, just want you to know that I love you as a sister in Christ and thank you for your service! I am here for you!",NOT,,,Not Offensive,0
"USER ALSO: Historians have long agreed that a state is only as great as it is tomatoes, and we are the greatest state of all.",NOT,,,Not Offensive,0
USER This is the reason why congress did not came in power,NOT,,,Not Offensive,0
USER USER All talk but he will vote against it,NOT,,,Not Offensive,0
USER USER The plan is simple. Q,NOT,,,Not Offensive,0
The person who read this May your parents live more than  years.....red_heart,NOT,,,Not Offensive,0
USER Thank you for telling the truth. Was that significant other hard?,NOT,,,Not Offensive,0
USER USER truly no idea why that came up under your tweet and not my own it was replying to. i am significant other sorry about that,NOT,,,Not Offensive,0
USER BINGO! Since she is the furthest away I wanted her to have a bit of Mina close to her heart. &lt;,NOT,,,Not Offensive,0
Today was significant other good.... ..... ........ ...........Unless my crush's girlfriend shared a pic with the two of them together  years ago.,NOT,,,Not Offensive,0
I mean the one with vintage song,NOT,,,Not Offensive,0
"USER Wow, thanks for posting. Hope it went viral.",NOT,,,Not Offensive,0
Read between the lines not just what is in front of you,NOT,,,Not Offensive,0
Currently waiting in London Heathrow for our flight back to Aberdeen - everything looking on tears in my eyes significant other far!,NOT,,,Not Offensive,0
USER Army around the world shall watch it tomorrow. Am already excitedsmiling_face_with_heart-eyessmiling_face_with_heart-eyessmiling_face_with_heart-eyessmiling_face_with_heart-eyes,NOT,,,Not Offensive,0
"USER Hang in there, Jo Yuri! Whoa whoa I am the one who supposed to ask you like that. . . face_with_rolling_eyes",NOT,,,Not Offensive,0
"significant other, tell me something happy happened to you today? Mine: A yellow butterfly crossed my road and kept flying in front of me as i walksmiling_face_with_heart-eyes",NOT,,,Not Offensive,0
USER USER USER Let us see how it goes then.,NOT,,,Not Offensive,0
USER USER Now tears in my eyes to apply the same in the YOU.K. ,NOT,,,Not Offensive,0
USER USER USER The one which snapchat quoted in the morning,NOT,,,Not Offensive,0
USER looked into it. he has one qualifying poll and will not release the donor count,NOT,,,Not Offensive,0
USER I have been reporting it for  years.,NOT,,,Not Offensive,0
USER Guess who is not watching the movie ... me Skeptical  annoyed  undecided  uneasy  or  hesitant,NOT,,,Not Offensive,0
loudly_crying_faceRetweet if you follow back and Follow everyone who reply Hi or red_heart on it.,NOT,,,Not Offensive,0
"USER USER Apart from Kobe in the rd team, yea I agreed.",NOT,,,Not Offensive,0
USER After living with you for a week I am sure that will be accomplished face_with_tears_of_joyface_blowing_a_kiss,NOT,,,Not Offensive,0
USER Whatever will become of it at least we can day we played a part.,NOT,,,Not Offensive,0
Enough of Netflix tonight. It is tears in my eyes for bed! sleeping_face,NOT,,,Not Offensive,0
I heard USER for the first tears in my eyes USER and fell in love!!!! Wish you guys were going to be at USER weary_faceweary_faceweary_face,NOT,,,Not Offensive,0
USER USER Whose account was it? It is not McConnell's official account.,NOT,,,Not Offensive,0
"USER I see. Yes, if there is stock, your order will be duly allocated units for completion of the order. - MC",NOT,,,Not Offensive,0
"USER shoot for the moon and miss, you still landing amongst the stars sparkles bro beans",NOT,,,Not Offensive,0
Why is the word Hispanic pronounced Hispainic in the United States?,NOT,,,Not Offensive,0
USER when we get the notification of acceptance? It should be today right...,NOT,,,Not Offensive,0
USER USER Except for the concrete walls surrounding it that keep people from getting to it. Wink  or  smirk,NOT,,,Not Offensive,0
"It is not about the feelings, it is the compatibility.",NOT,,,Not Offensive,0
thank you to all those who have prayed for me that good things will always be with you,NOT,,,Not Offensive,0
USER It was probably you,NOT,,,Not Offensive,0
Toni is the reason significant other many of us Black writers started writing. I am truly heartbroken. Wow broken_heart,NOT,,,Not Offensive,0
"Private equity: Buy the company, gut it, close up shop. Rinse and repeat.",NOT,,,Not Offensive,0
yooo instant message never on here but i am going to start making a comeback for the sake of my new art shoppe!,NOT,,,Not Offensive,0
Big congrats this morning to USER We just drew her name for the Dolce &amp; Gabbana Light Blue Sun fragrance. More to come,NOT,,,Not Offensive,0
cannot believe it is my last first day of high school ever tomorrow Frown  sad  angry  or  pouting,NOT,,,Not Offensive,0
"USER USER I loved him in Mr Smith Goes To Washington!!!!! Also, his military career was exemplary.",NOT,,,Not Offensive,0
USER I am counting yeol in. And hyungwons best hair,NOT,,,Not Offensive,0
 Best In The World two_heartspeach,NOT,,,Not Offensive,0
cannot believe it is not yet Friday and Rick Ross has not dropped Port of Miami .,NOT,,,Not Offensive,0
"USER USER Fix the ""change email"" feature in the Settings. Currently I cannot change my email, I get an error.",NOT,,,Not Offensive,0
"USER Not hidden agenda, more like open agenda in my humble opinion. HKD shorting was reported in late April to mid May.",NOT,,,Not Offensive,0
"USER Did you forget all the chaos symbols again? face_with_stuck-out_tongue_&_winking_eye Looks great, mate.",NOT,,,Not Offensive,0
"USER USER USER I doubt it but you never know, cannot see him even wanting to come to be honest",NOT,,,Not Offensive,0
USER Government subsidized farming. Sounds quite red to me.,NOT,,,Not Offensive,0
The new automatic sniper is out,NOT,,,Not Offensive,0
i do not know what to do todayface_with_tears_of_joy,NOT,,,Not Offensive,0
USER USER USER USER USER Aww you are significant other nice. red_heart you base in port harcourt?,NOT,,,Not Offensive,0
"significant other grateful for another year! Filled with love, lessons, growth &amp; significant other much more! It is only up from here, Happy Birthday to me butterflysparkles",NOT,,,Not Offensive,0
"USER That is not what I was expecting, but I love it!!",NOT,,,Not Offensive,0
Leaving twitter forever It was a great tears in my eyes with all of you and will miss you all Stay blessed with the best !! Allah Hafiz red_heart,NOT,,,Not Offensive,0
USER USER USER USER USER USER I kind of wondered about the security cameras. rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing,NOT,,,Not Offensive,0
"USER If ""go deeper papa"" was a person bottom right is definitely it.",NOT,,,Not Offensive,0
Thank God for Another Day folded_handsmedium-dark_skin_tone,NOT,,,Not Offensive,0
USER USER USER The belt is good,NOT,,,Not Offensive,0
Probably one of the best parts is when I binge watch football videos before the game. Analyse analyse analyse!,NOT,,,Not Offensive,0
but mom do i reallllyyy have to wash my hair again already i just did it like  days ago,NOT,,,Not Offensive,0
USER The bodys release of adrenaline due to a stimulus. Did I win?,NOT,,,Not Offensive,0
I can genuinely say I am no longer the person I was - years ago.,NOT,,,Not Offensive,0
"USER i have not had a look on the website yet, i do not think it is possible on the app?",NOT,,,Not Offensive,0
USER Happened with my model o also had to pay ,NOT,,,Not Offensive,0
retweet significant other Nicki sees I miss her following meloudly_crying_face,NOT,,,Not Offensive,0
Sometimes taking care yourself is the best way to practice yourself taking care others,NOT,,,Not Offensive,0
Look for generosity. Look for selflessness. Look for an open heart and an open mind. IsaPaWithFeelingsFilmingDay MaineMendoza USER,NOT,,,Not Offensive,0
USER USER thanks for coming Sarah! hope Isaac was not too traumatised!,NOT,,,Not Offensive,0
USER Awwww smiling_face_with_heart-eyessmiling_face_with_heart-eyes me too. He is soo cute. But you got to wait!,NOT,,,Not Offensive,0
USER d fireproof Solo sign of the times,NOT,,,Not Offensive,0
USER USER When I was told to join twitter I was not told about the bias rolling_on_the_floor_laughing,NOT,,,Not Offensive,0
USER Wale for sure he does,NOT,,,Not Offensive,0
"USER i think it will not going to lie, i ordered her yesterday and i got a poster",NOT,,,Not Offensive,0
USER USER it is better when you mention them,NOT,,,Not Offensive,0
"USER thanks for the info! non related, I am going to follow your nickname and I will try teppen Happy  face  or  smiley is it pay to win?",NOT,,,Not Offensive,0
USER To ship it out to you do I have to pay?,NOT,,,Not Offensive,0
USER How I wish I understand Russian Language.. Its would have been much better for me,NOT,,,Not Offensive,0
USER cannot wait to watch it BABY,NOT,,,Not Offensive,0
Thanks for the rivalry that makes one realize one's inadequacy.,NOT,,,Not Offensive,0
I should not have posted that on snapchat it was in at the heat of the moment.,NOT,,,Not Offensive,0
"everybody's playing minecraft and getting exited to play a new modern warfare game. yeah, we are back in ",NOT,,,Not Offensive,0
USER USER Let us watch  movies back to back! And sneak in some burritos burrito red_heart movie_camera ,NOT,,,Not Offensive,0
I was rubbing my stomach and my son did the exact same motion and I did it again and significant other did he purple_heartpleading_face,NOT,,,Not Offensive,0
&lt;whispers&gt; here come the mets &lt;/whispers&gt;,NOT,,,Not Offensive,0
Rest in power Toni Morrison,NOT,,,Not Offensive,0
"USER Last tears in my eyes I checked it was he, himself, he had the drive to make the ravens",NOT,,,Not Offensive,0
USER USER Good luck USER I really enjoyed your drumming. Also nice to see a few Canadians on SMKC! Go jets!,NOT,,,Not Offensive,0
USER USER That kind of did it for me.,NOT,,,Not Offensive,0
USER I am sure he would be happy to go back to Pool. Guess you are not interested in him.,NOT,,,Not Offensive,0
"Most notably Matt Stafford dropping dimes to Golladay and Jones Jr.Bill Belichick on Day  of joint practices: ""The Lions gave us problems in multiple areas.""",NOT,,,Not Offensive,0
USER USER USER Frexit will not happen the EU will rug Frances elections to make sure of it.,NOT,,,Not Offensive,0
"USER USER Ah yes, the government page...misleading and not factual TrudeauMustGo",NOT,,,Not Offensive,0
"USER Of course he does. He has a history of stiffing people, contractors, cities, etc. Nothing new here unfortunately.",NOT,,,Not Offensive,0
speaking of tws nats hair in tws was significant other good ugh superior hairstyle,NOT,,,Not Offensive,0
"the overwhelming amount of sadness that just washed over me,,,,,wow",NOT,,,Not Offensive,0
USER English Version: Intelligence is the ability to adapt to change. - Stephen Hawking,NOT,,,Not Offensive,0
USER Who thought it was a good idea ask her?,NOT,,,Not Offensive,0
I need to get back in the gym- pronto.,NOT,,,Not Offensive,0
USER It was great,NOT,,,Not Offensive,0
"USER yeah, contract prices were supid ott and i only used like gb anyway significant other now i have a shiny phone smiling_face_with_sunglassessmiling_face_with_sunglasses",NOT,,,Not Offensive,0
USER USER USER You mean the back of the gate ?,NOT,,,Not Offensive,0
"Heartiest congratulations to all of us for the end of article .USER ,USER",NOT,,,Not Offensive,0
USER USER ^^^^yup. Everyone at  is perfect for radically different reasons.,NOT,,,Not Offensive,0
 week until I can go to the gym again and I am significant other ready for it,NOT,,,Not Offensive,0
USER I have become fan of your art.,NOT,,,Not Offensive,0
"USER You do not even have to worry, your content is realistic before anyone else",NOT,,,Not Offensive,0
rd tears in my eyes to watch HelloLoveGoodbye HelloLoveChooseDay WalangSawa,NOT,,,Not Offensive,0
"i am beyond grateful to have a fam who is always there for me each and everytime, thanks G!!",NOT,,,Not Offensive,0
"USER USER it is the new season that was ""maybe"" coming in july?",NOT,,,Not Offensive,0
USER I read never as ever significant other I had to unrt,NOT,,,Not Offensive,0
you know it is kind of frustrating when you eat all the dino nuggets because then you do not *woah* have any,NOT,,,Not Offensive,0
USER It was great hearing that again. It really was. Thanks for requesting the song.,NOT,,,Not Offensive,0
Check out our  latest BusinessMgmt openings in ProvidenceRI by clicking the link in our bio.,NOT,,,Not Offensive,0
"USER You two have something in common, neither of you have any clue as to the meaning of ""Honesty""",NOT,,,Not Offensive,0
Ever since i got a Bjs membership. I REFUSE to pay regular price for gas,NOT,,,Not Offensive,0
From one Country Boy to another - Happy Birthday USER! CD,NOT,,,Not Offensive,0
I cannot socialize in the morning. just be quiet and leave me alone until noon,NOT,,,Not Offensive,0
USER USER ttump is twweting from his toylet in toledo.,NOT,,,Not Offensive,0
The Cubs are in first place and the Bears season is less than a month away. Best tears in my eyes of the year.,NOT,,,Not Offensive,0
"USER ...... me too, me too, but if you want to add more of the angst the feeling is somehow one sided",NOT,,,Not Offensive,0
overheard no did i peak in high school??,NOT,,,Not Offensive,0
You all need to listen to FACTS not how you FEEL.,NOT,,,Not Offensive,0
can we go back to the days our love was strongfrowning_facebroken_heart,NOT,,,Not Offensive,0
USER USER I am here for the  stacks table... not trying to hang w/ Vic sleeping_face,NOT,,,Not Offensive,0
"USER Thank you very much, now I have to make good on the opportunity and perform well. Fingers crossed it goes well thumbs_up",NOT,,,Not Offensive,0
USER NO NO NO!!!!! We can do much better with the money.,NOT,,,Not Offensive,0
"USER Stevie Ray Vaughn, about a month before he died. He was at the height of his powers and it was powerful, indeed.",NOT,,,Not Offensive,0
"hey USER, thanks for the followcowboy_hat_facepaintbrush",NOT,,,Not Offensive,0
"USER overheard okay I get it and thanks, reassuring. I am not sure how to follow the feed line is my problem, thanks again",NOT,,,Not Offensive,0
USER You all deservesmiling_face_with_heart-eyes cannot wait to watch the movie on Saturday!grinning_face_with_smiling_eyes I LOVE YOU ALL! Always stay safe and well Angelsred_heartred_heartred_heart,NOT,,,Not Offensive,0
"USER Plz ask for safety of rafeqa aunty and hameed ullah sb, I cannot reach any of my relatives there, thank you",NOT,,,Not Offensive,0
"I sacrificed friendship, love, and family all for nothing.",NOT,,,Not Offensive,0
"USER - are looking for you"" A slight smile was on her lips and her gaze was still on the table.",NOT,,,Not Offensive,0
USER I have not watched it.,NOT,,,Not Offensive,0
"USER I do not there was an email sent for that one. There is one for the abh release today, however.",NOT,,,Not Offensive,0
"It might be the week of summer camp, but do not fret. We will still be happening at Grandpa's Place on Thursday starting at private message!",NOT,,,Not Offensive,0
"Supposed to be  in Austin today. This weekend, when it is going to be , we will be referring to today as back before it got hot.",NOT,,,Not Offensive,0
I am ready for scorpio szn maneloudly_crying_face,NOT,,,Not Offensive,0
no problem Stronger - USER // On MusicAndTalk with USER &amp; USER InspireMyTuesday,NOT,,,Not Offensive,0
USER I was sure he would prefer the pan handle,NOT,,,Not Offensive,0
USER YOU know that you are loved by millions around the world purple_heartpurple_heartpurple_heartpurple_heart,NOT,,,Not Offensive,0
Her day is done. Mbokodo Malibongwe WomensMonth RestInPeace ToniMorrison,NOT,,,Not Offensive,0
What would you do for a Klondike bar?,NOT,,,Not Offensive,0
USER I just had to pay some unexpected import charges. The amount stated was GBP I was charged .. I want my p back. Not kidding.,NOT,,,Not Offensive,0
"i wonder if it is for KCRUSH concert in Bangkok, Luna has just confirmed as a part of the line upohh new schedule for Taemin on /? a concert in Thailand? alongside Taeyeon and Chungha lrt",NOT,,,Not Offensive,0
Meeting and talking to new people is a journey in itself but worth it!,NOT,,,Not Offensive,0
USER USER Thank God we are a constitutional republic and our rights are not up to a mob rule vote.,NOT,,,Not Offensive,0
USER AND if it rains I can also go between the mainstage and the stmpd stage swimming,NOT,,,Not Offensive,0
BORN TO BE THE BEST __ TwoYearsWithWannaOne My  boys is always the best,NOT,,,Not Offensive,0
Eddie Glaude is saying something and it needs to be heard in America!,NOT,,,Not Offensive,0
I am devastated but I am sure that she is resting in POWER!!! raised_fistmedium-dark_skin_toneheart_suitRIP Toni,NOT,,,Not Offensive,0
USER USER USER Nam I just thought of youface_with_tears_of_joy,NOT,,,Not Offensive,0
USER Your asking the REAL questions now.,NOT,,,Not Offensive,0
News from USER is that Arsenal have '%' agreed deal for Yann M'Vila. m the fee. Would be new AFC record.,NOT,,,Not Offensive,0
USER The Portuguese been saying Bruno is close to united for  months I am not sure how serious the interest is mate,NOT,,,Not Offensive,0
happy  year to the only queen I am who &lt;,NOT,,,Not Offensive,0
USER HIS loss NOT yours,NOT,,,Not Offensive,0
USER i am significant other sorry. i love you and sending all my love to you and your family,NOT,,,Not Offensive,0
USER Thanks I will and re tweet!!!,NOT,,,Not Offensive,0
"Uno what yh, we should be trying to sign a CB instead but... Coutinho in just gets me excited man",NOT,,,Not Offensive,0
USER The Grace of God and my family!!!,NOT,,,Not Offensive,0
I cannot wait for winter because of the fashion smiling_face_with_heart-eyes but you cannot dress ?,NOT,,,Not Offensive,0
"USER The traditional greeting on Epsilon Prime, if i recall correctly",NOT,,,Not Offensive,0
"Hey there boy, how do you like my new ship? Want to see what it can do?",NOT,,,Not Offensive,0
 years ago I never would have thought I would be where I am today as a person. Thank God.,NOT,,,Not Offensive,0
someone tell me should i keep saving money or go see the behind the scenes movie tomorrow like i do not know what to doneutral_faceneutral_face,NOT,,,Not Offensive,0
$DUSK + $ALGO to follow the IEO alts lead?,NOT,,,Not Offensive,0
Breaking : Abrogation of  passed in Lok Sabha by /,NOT,,,Not Offensive,0
USER Hey Big Guy--I have got a picture of Kew Video for you...that will be one million dollars.,NOT,,,Not Offensive,0
"Friday next year loudly_crying_faceFor TeamNaubusan , if we do Day  Pero Friday, pwede? Let me know &amp; hear your thoughts. D kc Kaya ng Sunday e &amp; that is the only tears in my eyes kaya.",NOT,,,Not Offensive,0
maggie and brandon dating is the best thing to happen to this word,NOT,,,Not Offensive,0
USER I was at this game last night and it was the best thing I ever saw it was awesome,NOT,,,Not Offensive,0
"USER True, but being in the church of Iron also feels good too",NOT,,,Not Offensive,0
USER Well it is not that much face_with_tears_of_joy,NOT,,,Not Offensive,0
USER USER A train company that rarely gets it right northernfail,NOT,,,Not Offensive,0
USER USER USER Wanting fame? She is just sharing her thoughts about the subject.,NOT,,,Not Offensive,0
riley is seeing the boys in  days kissing_facevictory_handlight_skin_tonevictory_handlight_skin_tone,NOT,,,Not Offensive,0
"USER USER For me neither, there is a lot of website traffic /Embarrassed  or  blushing",NOT,,,Not Offensive,0
I think Arsenal should focus on getting Upamecano than Coutinho for the sake of their defense.,NOT,,,Not Offensive,0
"USER Okay your name popped up now, I see it",NOT,,,Not Offensive,0
"wherever i was with you, it always felt like home",NOT,,,Not Offensive,0
USER USER USER USER USER Q for CSIA would both be functional OR only NMIA thinking_face,NOT,,,Not Offensive,0
USER USER Interesting badge change for the profile pic!,NOT,,,Not Offensive,0
looking to represent a duo in the v snd USER for USER,NOT,,,Not Offensive,0
"USER USER USER The end of the world is too easy to imagine, and in too many ways.",NOT,,,Not Offensive,0
"USER It is not quite as simple as that, but studios asking for more and more take to compensate is a big factor.",NOT,,,Not Offensive,0
Imagine marrying someone with a nice taste of musichugging_face,NOT,,,Not Offensive,0
follow everyone who LIKES and RETWEETS to gain new mutuals ,NOT,,,Not Offensive,0
Thank you for choosing me.,NOT,,,Not Offensive,0
